"Notes","Race","Race Code","State","State Code","Year","Year Code","ICD-10 113 Cause List","ICD-10 113 Cause List Code",Deaths,Population,Crude Rate
,"Black or African American","2054-5","New Jersey","34","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,1288238,1.6
,"Black or African American","2054-5","New Jersey","34","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",19,1288238,Unreliable
,"Black or African American","2054-5","New Jersey","34","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1293607,Unreliable
,"Black or African American","2054-5","New Jersey","34","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1298653,Unreliable
,"Black or African American","2054-5","New Jersey","34","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1298653,Unreliable
,"Black or African American","2054-5","New Jersey","34","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,1304334,Unreliable
,"Black or African American","2054-5","New Jersey","34","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,1304334,Unreliable
,"Black or African American","2054-5","New Jersey","34","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1311696,Unreliable
,"Black or African American","2054-5","New Jersey","34","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1311696,Unreliable
,"Black or African American","2054-5","New Jersey","34","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,1323532,Unreliable
,"Black or African American","2054-5","New Jersey","34","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,1323532,Unreliable
,"Black or African American","2054-5","New Jersey","34","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1333527,Unreliable
,"Black or African American","2054-5","New Jersey","34","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1333527,Unreliable
,"Black or African American","2054-5","New Jersey","34","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",20,1343487,1.5
,"Black or African American","2054-5","New Jersey","34","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,1343487,1.5
,"Black or African American","2054-5","New Jersey","34","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,1354962,Unreliable
,"Black or African American","2054-5","New Jersey","34","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,1354962,Unreliable
,"Black or African American","2054-5","New Jersey","34","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,1366160,2.2
,"Black or African American","2054-5","New Jersey","34","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,1366160,2.2
,"Black or African American","2054-5","New Jersey","34","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",27,1381439,2.0
,"Black or African American","2054-5","New Jersey","34","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,1381439,1.8
,"Black or African American","2054-5","New Jersey","34","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,1401290,1.5
,"Black or African American","2054-5","New Jersey","34","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,1401290,1.5
,"Black or African American","2054-5","New Jersey","34","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1412387,Unreliable
,"Black or African American","2054-5","New Jersey","34","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1412387,Unreliable
,"Black or African American","2054-5","New Jersey","34","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,1404125,Unreliable
,"Black or African American","2054-5","New Jersey","34","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,1404125,Unreliable
,"Black or African American","2054-5","New Jersey","34","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1404990,Unreliable
,"Black or African American","2054-5","New Jersey","34","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1404990,Unreliable
,"Black or African American","2054-5","New Jersey","34","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1421916,Unreliable
,"Black or African American","2054-5","New Jersey","34","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1421916,Unreliable
,"Black or African American","2054-5","New York","36","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,3410768,Unreliable
,"Black or African American","2054-5","New York","36","1999","1999","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,3410768,Unreliable
,"Black or African American","2054-5","New York","36","2000","2000","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,3434584,Unreliable
,"Black or African American","2054-5","New York","36","2000","2000","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,3434584,Unreliable
,"Black or African American","2054-5","New York","36","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,3457658,0.6
,"Black or African American","2054-5","New York","36","2001","2001","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,3457658,0.6
,"Black or African American","2054-5","New York","36","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,3467250,Unreliable
,"Black or African American","2054-5","New York","36","2002","2002","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,3467250,Unreliable
,"Black or African American","2054-5","New York","36","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,3471007,0.8
,"Black or African American","2054-5","New York","36","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,3471007,0.7
,"Black or African American","2054-5","New York","36","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,3464246,0.9
,"Black or African American","2054-5","New York","36","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,3464246,0.8
,"Black or African American","2054-5","New York","36","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,3457681,0.9
,"Black or African American","2054-5","New York","36","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",30,3457681,0.9
,"Black or African American","2054-5","New York","36","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",31,3453892,0.9
,"Black or African American","2054-5","New York","36","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,3453892,0.8
,"Black or African American","2054-5","New York","36","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,3456802,0.8
,"Black or African American","2054-5","New York","36","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,3456802,0.8
,"Black or African American","2054-5","New York","36","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",33,3473867,0.9
,"Black or African American","2054-5","New York","36","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,3473867,0.8
,"Black or African American","2054-5","New York","36","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",35,3498751,1.0
,"Black or African American","2054-5","New York","36","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",29,3498751,0.8
,"Black or African American","2054-5","New York","36","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,3523196,0.9
,"Black or African American","2054-5","New York","36","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",28,3523196,0.8
,"Black or African American","2054-5","New York","36","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,3556174,0.6
,"Black or African American","2054-5","New York","36","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,3556174,0.6
,"Black or African American","2054-5","New York","36","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,3583475,0.7
,"Black or African American","2054-5","New York","36","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",24,3583475,0.7
,"Black or African American","2054-5","New York","36","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",24,3606924,0.7
,"Black or African American","2054-5","New York","36","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",24,3606924,0.7
,"Black or African American","2054-5","New York","36","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",29,3648167,0.8
,"Black or African American","2054-5","New York","36","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,3648167,0.7
,"Black or African American","2054-5","New York","36","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",27,3665284,0.7
,"Black or African American","2054-5","New York","36","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",26,3665284,0.7
,"Black or African American","2054-5","New York","36","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,3667316,0.6
,"Black or African American","2054-5","New York","36","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,3667316,0.6
,"Black or African American","2054-5","New York","36","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",23,3695842,0.6
,"Black or African American","2054-5","New York","36","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",23,3695842,0.6
,"Black or African American","2054-5","New York","36","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,3634305,0.8
,"Black or African American","2054-5","New York","36","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,3634305,0.7
,"Black or African American","2054-5","New York","36","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",35,3611420,1.0
,"Black or African American","2054-5","New York","36","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",34,3611420,0.9
,"Black or African American","2054-5","New York","36","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",28,3604597,0.8
,"Black or African American","2054-5","New York","36","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",27,3604597,0.7
,"Black or African American","2054-5","North Carolina","37","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1758625,Unreliable
,"Black or African American","2054-5","North Carolina","37","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1844291,Unreliable
,"Black or African American","2054-5","North Carolina","37","2002","2002","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1844291,Unreliable
,"Black or African American","2054-5","North Carolina","37","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,1869334,Unreliable
,"Black or African American","2054-5","North Carolina","37","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1869334,Unreliable
,"Black or African American","2054-5","North Carolina","37","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,2035660,Unreliable
,"Black or African American","2054-5","North Carolina","37","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,2035660,Unreliable
,"Black or African American","2054-5","North Carolina","37","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2125058,Unreliable
,"Black or African American","2054-5","North Carolina","37","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2125058,Unreliable
,"Black or African American","2054-5","North Carolina","37","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,2272052,0.9
,"Black or African American","2054-5","North Carolina","37","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2272052,0.9
,"Black or African American","2054-5","North Carolina","37","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,2301313,Unreliable
,"Black or African American","2054-5","North Carolina","37","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,2301313,Unreliable
,"Black or African American","2054-5","North Carolina","37","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,2333929,Unreliable
,"Black or African American","2054-5","North Carolina","37","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,2333929,Unreliable
,"Black or African American","2054-5","North Carolina","37","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,2364451,0.9
,"Black or African American","2054-5","North Carolina","37","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",20,2364451,0.8
,"Black or African American","2054-5","North Carolina","37","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2394548,Unreliable
,"Black or African American","2054-5","North Carolina","37","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,2394548,Unreliable
,"Black or African American","2054-5","North Carolina","37","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",22,2421439,0.9
,"Black or African American","2054-5","North Carolina","37","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",22,2421439,0.9
,"Black or African American","2054-5","North Carolina","37","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",40,2453861,1.6
,"Black or African American","2054-5","North Carolina","37","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",40,2453861,1.6
,"Black or African American","2054-5","Ohio","39","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1501406,Unreliable
,"Black or African American","2054-5","Ohio","39","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1501406,Unreliable
,"Black or African American","2054-5","Ohio","39","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,1530803,Unreliable
,"Black or African American","2054-5","Ohio","39","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,1530803,Unreliable
,"Black or African American","2054-5","Ohio","39","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1544643,Unreliable
,"Black or African American","2054-5","Ohio","39","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1544643,Unreliable
,"Black or African American","2054-5","Ohio","39","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,1578549,Unreliable
,"Black or African American","2054-5","Ohio","39","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,1578549,Unreliable
,"Black or African American","2054-5","Ohio","39","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1613123,Unreliable
,"Black or African American","2054-5","Ohio","39","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,1613123,Unreliable
,"Black or African American","2054-5","Ohio","39","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1640963,Unreliable
,"Black or African American","2054-5","Ohio","39","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1640963,Unreliable
,"Black or African American","2054-5","Ohio","39","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1658318,Unreliable
,"Black or African American","2054-5","Ohio","39","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1658318,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1445762,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1445762,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1469600,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1469600,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1492281,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1492281,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1506459,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,1506459,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1554879,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1554879,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1599349,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1599349,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1617500,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,1617500,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1632313,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1643677,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1643677,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1660533,Unreliable
,"Black or African American","2054-5","Pennsylvania","42","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",11,1660533,Unreliable
,"Black or African American","2054-5","South Carolina","45","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,1308465,Unreliable
,"Black or African American","2054-5","South Carolina","45","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1308465,Unreliable
,"Black or African American","2054-5","South Carolina","45","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1320564,Unreliable
,"Black or African American","2054-5","South Carolina","45","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1320564,Unreliable
,"Black or African American","2054-5","South Carolina","45","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,1343297,Unreliable
,"Black or African American","2054-5","South Carolina","45","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",17,1343297,Unreliable
,"Black or African American","2054-5","South Carolina","45","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1362515,Unreliable
,"Black or African American","2054-5","South Carolina","45","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1362515,Unreliable
,"Black or African American","2054-5","South Carolina","45","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",17,1374865,Unreliable
,"Black or African American","2054-5","South Carolina","45","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,1374865,Unreliable
,"Black or African American","2054-5","South Carolina","45","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1398222,Unreliable
,"Black or African American","2054-5","South Carolina","45","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1398222,Unreliable
,"Black or African American","2054-5","South Carolina","45","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",15,1409678,Unreliable
,"Black or African American","2054-5","South Carolina","45","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",15,1409678,Unreliable
,"Black or African American","2054-5","South Carolina","45","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1428188,Unreliable
,"Black or African American","2054-5","South Carolina","45","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1428188,Unreliable
,"Black or African American","2054-5","South Carolina","45","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,1441509,Unreliable
,"Black or African American","2054-5","South Carolina","45","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,1441509,Unreliable
,"Black or African American","2054-5","Tennessee","47","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,1131376,Unreliable
,"Black or African American","2054-5","Tennessee","47","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,1131376,Unreliable
,"Black or African American","2054-5","Tennessee","47","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",13,1167771,Unreliable
,"Black or African American","2054-5","Tennessee","47","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,1167771,Unreliable
,"Black or African American","2054-5","Tennessee","47","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,1189804,Unreliable
,"Black or African American","2054-5","Tennessee","47","2018","2018","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,1198663,Unreliable
,"Black or African American","2054-5","Tennessee","47","2018","2018","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",14,1198663,Unreliable
,"Black or African American","2054-5","Tennessee","47","2019","2019","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,1209147,Unreliable
,"Black or African American","2054-5","Tennessee","47","2019","2019","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,1209147,Unreliable
,"Black or African American","2054-5","Tennessee","47","2020","2020","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",18,1219237,Unreliable
,"Black or African American","2054-5","Tennessee","47","2020","2020","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",18,1219237,Unreliable
,"Black or African American","2054-5","Texas","48","1999","1999","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",10,2461293,Unreliable
,"Black or African American","2054-5","Texas","48","1999","1999","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2461293,Unreliable
,"Black or African American","2054-5","Texas","48","2001","2001","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",11,2551645,Unreliable
,"Black or African American","2054-5","Texas","48","2001","2001","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2551645,Unreliable
,"Black or African American","2054-5","Texas","48","2002","2002","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2602237,Unreliable
,"Black or African American","2054-5","Texas","48","2002","2002","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",10,2602237,Unreliable
,"Black or African American","2054-5","Texas","48","2003","2003","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",14,2646739,Unreliable
,"Black or African American","2054-5","Texas","48","2003","2003","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",13,2646739,Unreliable
,"Black or African American","2054-5","Texas","48","2004","2004","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",16,2697339,Unreliable
,"Black or African American","2054-5","Texas","48","2004","2004","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,2697339,Unreliable
,"Black or African American","2054-5","Texas","48","2005","2005","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",19,2753898,Unreliable
,"Black or African American","2054-5","Texas","48","2005","2005","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",16,2753898,Unreliable
,"Black or African American","2054-5","Texas","48","2006","2006","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",30,2904002,1.0
,"Black or African American","2054-5","Texas","48","2006","2006","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",29,2904002,1.0
,"Black or African American","2054-5","Texas","48","2007","2007","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",12,2962118,Unreliable
,"Black or African American","2054-5","Texas","48","2007","2007","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",12,2962118,Unreliable
,"Black or African American","2054-5","Texas","48","2008","2008","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",21,3027152,0.7
,"Black or African American","2054-5","Texas","48","2008","2008","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",21,3027152,0.7
,"Black or African American","2054-5","Texas","48","2009","2009","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",36,3101293,1.2
,"Black or African American","2054-5","Texas","48","2009","2009","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",36,3101293,1.2
,"Black or African American","2054-5","Texas","48","2010","2010","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",25,3156011,0.8
,"Black or African American","2054-5","Texas","48","2010","2010","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",25,3156011,0.8
,"Black or African American","2054-5","Texas","48","2011","2011","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",42,3231968,1.3
,"Black or African American","2054-5","Texas","48","2011","2011","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",42,3231968,1.3
,"Black or African American","2054-5","Texas","48","2012","2012","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",50,3313287,1.5
,"Black or African American","2054-5","Texas","48","2012","2012","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",48,3313287,1.4
,"Black or African American","2054-5","Texas","48","2013","2013","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",42,3386416,1.2
,"Black or African American","2054-5","Texas","48","2013","2013","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",40,3386416,1.2
,"Black or African American","2054-5","Texas","48","2014","2014","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",37,3471829,1.1
,"Black or African American","2054-5","Texas","48","2014","2014","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",36,3471829,1.0
,"Black or African American","2054-5","Texas","48","2015","2015","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",54,3557565,1.5
,"Black or African American","2054-5","Texas","48","2015","2015","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",53,3557565,1.5
,"Black or African American","2054-5","Texas","48","2016","2016","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",49,3634085,1.3
,"Black or African American","2054-5","Texas","48","2016","2016","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",48,3634085,1.3
,"Black or African American","2054-5","Texas","48","2017","2017","#Pregnancy, childbirth and the puerperium (O00-O99)","GR113-105",44,3717259,1.2
,"Black or African American","2054-5","Texas","48","2017","2017","Other complications of pregnancy, childbirth and the puerperium (O10-O99)","GR113-107",42,3717259,1.1
