race,race_code,state,state_code,year,year_code,icd10_113_cause_list,icd10_113_cause_list_code,deaths,population,crude_rate
Black or African American,2054-5,Louisiana,22.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,18.0,1516716.0,
Black or African American,2054-5,Louisiana,22.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,18.0,1516716.0,
Black or African American,2054-5,Louisiana,22.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,28.0,1526736.0,1.8
Black or African American,2054-5,Louisiana,22.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,28.0,1526736.0,1.8
Black or African American,2054-5,Louisiana,22.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,27.0,1538168.0,1.8
Black or African American,2054-5,Louisiana,22.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,27.0,1538168.0,1.8
Black or African American,2054-5,Louisiana,22.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,23.0,1546176.0,1.5
Black or African American,2054-5,Louisiana,22.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,23.0,1546176.0,1.5
Black or African American,2054-5,Louisiana,22.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,35.0,1554167.0,2.3
Black or African American,2054-5,Louisiana,22.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,35.0,1554167.0,2.3
Black or African American,2054-5,Louisiana,22.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,1558498.0,1.3
Black or African American,2054-5,Louisiana,22.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,1558498.0,1.3
Black or African American,2054-5,Louisiana,22.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1557173.0,
Black or African American,2054-5,Louisiana,22.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1557173.0,
Black or African American,2054-5,Louisiana,22.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1556514.0,
Black or African American,2054-5,Louisiana,22.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,1556514.0,
Black or African American,2054-5,Louisiana,22.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,1561145.0,1.3
Black or African American,2054-5,Louisiana,22.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,19.0,1561145.0,
Black or African American,2054-5,Maryland,24.0,2003,2003.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1621856.0,
Black or African American,2054-5,Maryland,24.0,2003,2003.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1621856.0,
Black or African American,2054-5,Maryland,24.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1652016.0,
Black or African American,2054-5,Maryland,24.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1652016.0,
Black or African American,2054-5,Maryland,24.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1680707.0,
Black or African American,2054-5,Maryland,24.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1680707.0,
Black or African American,2054-5,Maryland,24.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1705298.0,
Black or African American,2054-5,Maryland,24.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,1705298.0,
Black or African American,2054-5,Maryland,24.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1724204.0,
Black or African American,2054-5,Maryland,24.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1764644.0,
Black or African American,2054-5,Maryland,24.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1764644.0,
Black or African American,2054-5,Maryland,24.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,1783183.0,
Black or African American,2054-5,Maryland,24.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,1783183.0,
Black or African American,2054-5,Maryland,24.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1822097.0,
Black or African American,2054-5,Maryland,24.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1822097.0,
Black or African American,2054-5,Maryland,24.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,1868002.0,
Black or African American,2054-5,Maryland,24.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,1868002.0,
Black or African American,2054-5,Maryland,24.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1926348.0,
Black or African American,2054-5,Maryland,24.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1926348.0,
Black or African American,2054-5,Maryland,24.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1944767.0,
Black or African American,2054-5,Maryland,24.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1944767.0,
Black or African American,2054-5,Maryland,24.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1963360.0,
Black or African American,2054-5,Maryland,24.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1963360.0,
Black or African American,2054-5,Michigan,26.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,25.0,1492884.0,1.7
Black or African American,2054-5,Michigan,26.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,24.0,1492884.0,1.6
Black or African American,2054-5,Michigan,26.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,22.0,1494262.0,1.5
Black or African American,2054-5,Michigan,26.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,21.0,1494262.0,1.4
Black or African American,2054-5,Michigan,26.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1494911.0,
Black or African American,2054-5,Michigan,26.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1494911.0,
Black or African American,2054-5,Michigan,26.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,1492428.0,
Black or African American,2054-5,Michigan,26.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,1492428.0,
Black or African American,2054-5,Michigan,26.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1485681.0,
Black or African American,2054-5,Michigan,26.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1485681.0,
Black or African American,2054-5,Michigan,26.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1481101.0,
Black or African American,2054-5,Michigan,26.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,1481101.0,
Black or African American,2054-5,Michigan,26.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,17.0,1483261.0,
Black or African American,2054-5,Michigan,26.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,1483261.0,
Black or African American,2054-5,Michigan,26.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1488254.0,
Black or African American,2054-5,Michigan,26.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1488254.0,
Black or African American,2054-5,Michigan,26.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1488275.0,
Black or African American,2054-5,Michigan,26.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1488275.0,
Black or African American,2054-5,Michigan,26.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1485621.0,
Black or African American,2054-5,Michigan,26.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1485621.0,
Black or African American,2054-5,Michigan,26.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1487623.0,
Black or African American,2054-5,Michigan,26.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1487623.0,
Black or African American,2054-5,Michigan,26.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1488644.0,
Black or African American,2054-5,Michigan,26.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1488644.0,
Black or African American,2054-5,Michigan,26.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1496029.0,
Black or African American,2054-5,Michigan,26.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1497477.0,
Black or African American,2054-5,Michigan,26.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,1497477.0,
Black or African American,2054-5,Michigan,26.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1499982.0,
Black or African American,2054-5,Michigan,26.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1499982.0,
Black or African American,2054-5,Mississippi,28.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1070369.0,
Black or African American,2054-5,Mississippi,28.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1070369.0,
Black or African American,2054-5,Mississippi,28.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1080399.0,
Black or African American,2054-5,Mississippi,28.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,1080399.0,
Black or African American,2054-5,Mississippi,28.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1103216.0,
Black or African American,2054-5,Mississippi,28.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,1103216.0,
Black or African American,2054-5,Mississippi,28.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1125114.0,
Black or African American,2054-5,Mississippi,28.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1125114.0,
Black or African American,2054-5,Mississippi,28.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,1141493.0,
Black or African American,2054-5,Mississippi,28.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,14.0,1141493.0,
Black or African American,2054-5,Mississippi,28.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1141283.0,
Black or African American,2054-5,Mississippi,28.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1141283.0,
Black or African American,2054-5,Missouri,29.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,743924.0,
Black or African American,2054-5,Missouri,29.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,743924.0,
Black or African American,2054-5,Missouri,29.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,755768.0,
Black or African American,2054-5,Missouri,29.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,755768.0,
Black or African American,2054-5,Missouri,29.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,761321.0,
Black or African American,2054-5,Missouri,29.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,761321.0,
Black or African American,2054-5,Missouri,29.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,765154.0,
Black or African American,2054-5,Missouri,29.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,765154.0,
Black or African American,2054-5,Missouri,29.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,776770.0,
Black or African American,2054-5,Missouri,29.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,776770.0,
Black or African American,2054-5,New Jersey,34.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,1288238.0,1.6
Black or African American,2054-5,New Jersey,34.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,19.0,1288238.0,
Black or African American,2054-5,New Jersey,34.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1293607.0,
Black or African American,2054-5,New Jersey,34.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,1298653.0,
Black or African American,2054-5,New Jersey,34.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1298653.0,
Black or African American,2054-5,New Jersey,34.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1304334.0,
Black or African American,2054-5,New Jersey,34.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1304334.0,
Black or African American,2054-5,New Jersey,34.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1311696.0,
Black or African American,2054-5,New Jersey,34.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1311696.0,
Black or African American,2054-5,New Jersey,34.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1323532.0,
Black or African American,2054-5,New Jersey,34.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,1323532.0,
Black or African American,2054-5,New Jersey,34.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,14.0,1333527.0,
Black or African American,2054-5,New Jersey,34.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1333527.0,
Black or African American,2054-5,New Jersey,34.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,20.0,1343487.0,1.5
Black or African American,2054-5,New Jersey,34.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,1343487.0,1.5
Black or African American,2054-5,New Jersey,34.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,1354962.0,
Black or African American,2054-5,New Jersey,34.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,1354962.0,
Black or African American,2054-5,New Jersey,34.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,30.0,1366160.0,2.2
Black or African American,2054-5,New Jersey,34.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,30.0,1366160.0,2.2
Black or African American,2054-5,New Jersey,34.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,27.0,1381439.0,2.0
Black or African American,2054-5,New Jersey,34.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,25.0,1381439.0,1.8
Black or African American,2054-5,New Jersey,34.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,1401290.0,1.5
Black or African American,2054-5,New Jersey,34.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,21.0,1401290.0,1.5
Black or African American,2054-5,New Jersey,34.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1412387.0,
Black or African American,2054-5,New Jersey,34.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,1412387.0,
Black or African American,2054-5,New Jersey,34.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,1404125.0,
Black or African American,2054-5,New Jersey,34.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,16.0,1404125.0,
Black or African American,2054-5,New Jersey,34.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,15.0,1404990.0,
Black or African American,2054-5,New Jersey,34.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,1404990.0,
Black or African American,2054-5,New Jersey,34.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1421916.0,
Black or African American,2054-5,New Jersey,34.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1421916.0,
Black or African American,2054-5,New York,36.0,1999,1999.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,19.0,3410768.0,
Black or African American,2054-5,New York,36.0,1999,1999.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,17.0,3410768.0,
Black or African American,2054-5,New York,36.0,2000,2000.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,3434584.0,
Black or African American,2054-5,New York,36.0,2000,2000.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,3434584.0,
Black or African American,2054-5,New York,36.0,2001,2001.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,22.0,3457658.0,0.6
Black or African American,2054-5,New York,36.0,2001,2001.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,3457658.0,0.6
Black or African American,2054-5,New York,36.0,2002,2002.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,3467250.0,
Black or African American,2054-5,New York,36.0,2002,2002.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,3467250.0,
Black or African American,2054-5,New York,36.0,2003,2003.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,28.0,3471007.0,0.8
Black or African American,2054-5,New York,36.0,2003,2003.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,26.0,3471007.0,0.7
Black or African American,2054-5,New York,36.0,2004,2004.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,30.0,3464246.0,0.9
Black or African American,2054-5,New York,36.0,2004,2004.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,28.0,3464246.0,0.8
Black or African American,2054-5,New York,36.0,2005,2005.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,30.0,3457681.0,0.9
Black or African American,2054-5,New York,36.0,2005,2005.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,30.0,3457681.0,0.9
Black or African American,2054-5,New York,36.0,2006,2006.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,31.0,3453892.0,0.9
Black or African American,2054-5,New York,36.0,2006,2006.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,27.0,3453892.0,0.8
Black or African American,2054-5,New York,36.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,28.0,3456802.0,0.8
Black or African American,2054-5,New York,36.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,26.0,3456802.0,0.8
Black or African American,2054-5,New York,36.0,2008,2008.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,33.0,3473867.0,0.9
Black or African American,2054-5,New York,36.0,2008,2008.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,28.0,3473867.0,0.8
Black or African American,2054-5,New York,36.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,35.0,3498751.0,1.0
Black or African American,2054-5,New York,36.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,29.0,3498751.0,0.8
Black or African American,2054-5,New York,36.0,2010,2010.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,30.0,3523196.0,0.9
Black or African American,2054-5,New York,36.0,2010,2010.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,28.0,3523196.0,0.8
Black or African American,2054-5,New York,36.0,2011,2011.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,22.0,3556174.0,0.6
Black or African American,2054-5,New York,36.0,2011,2011.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,22.0,3556174.0,0.6
Black or African American,2054-5,New York,36.0,2012,2012.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,25.0,3583475.0,0.7
Black or African American,2054-5,New York,36.0,2012,2012.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,24.0,3583475.0,0.7
Black or African American,2054-5,New York,36.0,2013,2013.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,24.0,3606924.0,0.7
Black or African American,2054-5,New York,36.0,2013,2013.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,24.0,3606924.0,0.7
Black or African American,2054-5,New York,36.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,29.0,3648167.0,0.8
Black or African American,2054-5,New York,36.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,26.0,3648167.0,0.7
Black or African American,2054-5,New York,36.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,27.0,3665284.0,0.7
Black or African American,2054-5,New York,36.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,26.0,3665284.0,0.7
Black or African American,2054-5,New York,36.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,22.0,3667316.0,0.6
Black or African American,2054-5,New York,36.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,22.0,3667316.0,0.6
Black or African American,2054-5,New York,36.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,23.0,3695842.0,0.6
Black or African American,2054-5,New York,36.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,23.0,3695842.0,0.6
Black or African American,2054-5,New York,36.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,30.0,3634305.0,0.8
Black or African American,2054-5,New York,36.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,27.0,3634305.0,0.7
Black or African American,2054-5,New York,36.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,35.0,3611420.0,1.0
Black or African American,2054-5,New York,36.0,2019,2019.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,34.0,3611420.0,0.9
Black or African American,2054-5,New York,36.0,2020,2020.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,28.0,3604597.0,0.8
Black or African American,2054-5,New York,36.0,2020,2020.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,27.0,3604597.0,0.7
Black or African American,2054-5,North Carolina,37.0,1999,1999.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,1758625.0,
Black or African American,2054-5,North Carolina,37.0,2002,2002.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,13.0,1844291.0,
Black or African American,2054-5,North Carolina,37.0,2002,2002.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,13.0,1844291.0,
Black or African American,2054-5,North Carolina,37.0,2003,2003.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,1869334.0,
Black or African American,2054-5,North Carolina,37.0,2003,2003.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,1869334.0,
Black or African American,2054-5,North Carolina,37.0,2007,2007.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,11.0,2035660.0,
Black or African American,2054-5,North Carolina,37.0,2007,2007.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,11.0,2035660.0,
Black or African American,2054-5,North Carolina,37.0,2009,2009.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,10.0,2125058.0,
Black or African American,2054-5,North Carolina,37.0,2009,2009.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,10.0,2125058.0,
Black or African American,2054-5,North Carolina,37.0,2014,2014.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,2272052.0,0.9
Black or African American,2054-5,North Carolina,37.0,2014,2014.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,2272052.0,0.9
Black or African American,2054-5,North Carolina,37.0,2015,2015.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,17.0,2301313.0,
Black or African American,2054-5,North Carolina,37.0,2015,2015.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,17.0,2301313.0,
Black or African American,2054-5,North Carolina,37.0,2016,2016.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,16.0,2333929.0,
Black or African American,2054-5,North Carolina,37.0,2016,2016.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,15.0,2333929.0,
Black or African American,2054-5,North Carolina,37.0,2017,2017.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,21.0,2364451.0,0.9
Black or African American,2054-5,North Carolina,37.0,2017,2017.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,20.0,2364451.0,0.8
Black or African American,2054-5,North Carolina,37.0,2018,2018.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,12.0,2394548.0,
Black or African American,2054-5,North Carolina,37.0,2018,2018.0,"Other complications of pregnancy, childbirth and the puerperium (O10-O99)",GR113-107,12.0,2394548.0,
Black or African American,2054-5,North Carolina,37.0,2019,2019.0,"#Pregnancy, childbirth and the puerperium (O00-O99)",GR113-105,22.0,2421439.0,0.9
